Inference for Bugs model at "../Mi model JAGS simp3.txt", fit using jags,
 3 chains, each with 4e+05 iterations (first 2e+05 discarded), n.thin = 300
 n.sims = 1998 iterations saved
          mu.vect sd.vect    2.5%    25%    50%    75%  97.5%  Rhat n.eff
mu[1]       1.605   0.083   1.442  1.552  1.606  1.662  1.760 1.003   750
mu[2]       1.672   0.082   1.508  1.619  1.673  1.724  1.839 1.001  2000
mu[3]       1.664   0.069   1.526  1.617  1.665  1.711  1.799 1.004   580
mu[4]       1.754   0.104   1.545  1.687  1.757  1.824  1.952 1.001  2000
mu[5]       1.931   0.088   1.765  1.872  1.930  1.991  2.108 1.001  2000
mu[6]       1.707   0.100   1.506  1.642  1.710  1.775  1.896 1.004   510
mu[7]       1.672   0.079   1.515  1.618  1.674  1.726  1.827 1.004   540
mu[8]       1.406   0.115   1.174  1.334  1.403  1.483  1.632 1.002  1900
mu[9]       1.698   0.081   1.534  1.644  1.699  1.754  1.854 1.004   530
mu[10]      1.473   0.111   1.260  1.404  1.469  1.540  1.708 1.004   630
mu[11]      1.673   0.070   1.534  1.626  1.674  1.723  1.805 1.003   710
mu[12]      2.093   0.125   1.837  2.016  2.096  2.176  2.341 1.001  2000
mu[13]      1.860   0.094   1.680  1.796  1.861  1.921  2.045 1.000  2000
mu[14]      2.011   0.120   1.784  1.930  2.007  2.091  2.246 1.001  2000
mu[15]      1.713   0.150   1.416  1.610  1.718  1.816  1.995 1.002  1100
mu[16]      1.744   0.107   1.545  1.673  1.742  1.811  1.956 1.001  2000
mu[17]      1.876   0.114   1.652  1.798  1.881  1.952  2.088 1.003   810
mu[18]      1.899   0.117   1.670  1.820  1.903  1.979  2.121 1.003   710
mu[19]      1.884   0.113   1.655  1.813  1.888  1.960  2.092 1.004   560
mu[20]      1.939   0.111   1.722  1.865  1.942  2.014  2.146 1.003   670
mu[21]      2.179   0.135   1.907  2.089  2.179  2.270  2.431 1.001  2000
mu[22]      2.248   0.140   1.973  2.157  2.247  2.344  2.515 1.001  2000
mu[23]      2.110   0.119   1.870  2.029  2.113  2.191  2.330 1.002  1300
mu[24]      2.031   0.133   1.776  1.942  2.033  2.123  2.273 1.001  2000
mu[25]      2.145   0.104   1.948  2.076  2.143  2.211  2.357 1.001  2000
mu[26]      1.897   0.118   1.680  1.817  1.892  1.972  2.138 1.000  2000
mu[27]      1.541   0.070   1.401  1.496  1.542  1.588  1.673 1.002  1500
mu[28]      1.637   0.070   1.498  1.589  1.638  1.683  1.772 1.002  1300
mu[29]      1.795   0.095   1.604  1.734  1.797  1.858  1.984 1.001  1700
mu[30]      1.922   0.116   1.704  1.842  1.921  1.997  2.153 1.000  2000
mu[31]      1.503   0.087   1.324  1.446  1.503  1.560  1.670 1.001  1800
mu[32]      1.710   0.103   1.501  1.642  1.711  1.780  1.905 1.002  1400
mu[33]      1.717   0.092   1.528  1.657  1.719  1.778  1.901 1.001  1700
mu[34]      1.719   0.103   1.510  1.652  1.720  1.789  1.917 1.002  1400
mu[35]      1.692   0.098   1.491  1.627  1.693  1.758  1.879 1.002  1400
mu[36]      1.618   0.074   1.475  1.570  1.620  1.669  1.762 1.002  1300
mu[37]      1.532   0.073   1.387  1.486  1.532  1.581  1.670 1.002  1400
mu[38]      1.602   0.076   1.451  1.550  1.602  1.653  1.748 1.002  1300
mu[39]      1.535   0.079   1.379  1.483  1.535  1.589  1.684 1.001  1700
mu[40]      1.430   0.106   1.206  1.359  1.433  1.505  1.627 1.001  1700
mu[41]      1.335   0.130   1.071  1.254  1.337  1.423  1.587 1.001  1900
mu[42]      1.600   0.057   1.484  1.563  1.603  1.637  1.707 1.002  1200
mu[43]      2.074   0.045   1.967  2.052  2.079  2.100  2.153 1.002  2000
mu[44]      1.693   0.033   1.648  1.681  1.690  1.700  1.755 1.024  2000
mu[45]      1.808   0.026   1.759  1.797  1.808  1.818  1.851 1.017  2000
mu[46]      2.074   0.051   1.975  2.040  2.073  2.107  2.173 1.002  1400
mu[47]      2.509   0.091   2.330  2.449  2.507  2.568  2.698 1.003  1700
mu[48]      1.945   0.132   1.688  1.855  1.949  2.030  2.204 1.001  1900
mu[49]      2.178   0.168   1.856  2.062  2.181  2.290  2.501 1.001  1900
mu[50]      1.710   0.070   1.569  1.664  1.708  1.756  1.850 1.002  1400
mu[51]      1.882   0.065   1.754  1.839  1.882  1.924  2.012 1.001  2000
mu[52]      1.822   0.066   1.700  1.777  1.823  1.865  1.952 1.002  1500
mu[53]      2.091   0.134   1.838  2.004  2.084  2.176  2.368 1.001  2000
mu[54]      1.776   0.149   1.509  1.674  1.773  1.874  2.076 1.001  2000
mu[55]      1.555   0.098   1.370  1.488  1.553  1.622  1.744 1.002   900
mu[56]      1.764   0.082   1.599  1.709  1.765  1.821  1.925 1.001  2000
mu[57]      1.936   0.056   1.827  1.898  1.936  1.974  2.046 1.001  1800
mu[58]      2.171   0.085   2.007  2.117  2.169  2.224  2.346 1.001  2000
mu[59]      2.409   0.084   2.244  2.353  2.408  2.465  2.577 1.001  1900
mu[60]      1.717   0.083   1.554  1.663  1.716  1.773  1.876 1.001  2000
mu[61]      1.733   0.082   1.575  1.678  1.733  1.788  1.889 1.001  2000
mu[62]      1.638   0.099   1.437  1.572  1.639  1.705  1.831 1.001  1600
mu[63]      1.595   0.111   1.373  1.523  1.597  1.671  1.812 1.002  1400
mu[64]      1.609   0.117   1.372  1.531  1.610  1.689  1.837 1.001  1600
mu[65]      1.778   0.069   1.640  1.734  1.779  1.826  1.905 1.001  2000
mu[66]      1.700   0.084   1.537  1.646  1.700  1.755  1.861 1.001  2000
mu[67]      2.100   0.113   1.876  2.024  2.103  2.178  2.312 1.001  2000
mu[68]      1.706   0.066   1.577  1.661  1.708  1.750  1.835 1.002  1000
p.val[1]    0.457   0.840   0.000  0.000  0.000  0.000  2.000 1.003   760
p.val[2]    1.921   0.390   0.000  2.000  2.000  2.000  2.000 1.000  2000
p.val[3]    1.108   0.994   0.000  0.000  2.000  2.000  2.000 1.001  1900
p.val[4]    0.751   0.969   0.000  0.000  0.000  2.000  2.000 1.001  1600
p.val[5]    2.000   0.000   2.000  2.000  2.000  2.000  2.000 1.000     1
p.val[6]    0.416   0.812   0.000  0.000  0.000  0.000  2.000 1.000  2000
p.val[7]    0.541   0.888   0.000  0.000  0.000  2.000  2.000 1.002  1200
p.val[8]    0.282   0.697   0.000  0.000  0.000  0.000  2.000 1.001  2000
p.val[9]    0.008   0.126   0.000  0.000  0.000  0.000  0.000 1.153   640
p.val[10]   1.934   0.358   0.000  2.000  2.000  2.000  2.000 1.004  2000
p.val[11]   0.186   0.581   0.000  0.000  0.000  0.000  2.000 1.002  2000
tau        15.822   3.116  10.328 13.663 15.668 17.755 22.440 1.002  1500
deviance    6.336   7.497  -5.591  0.798  5.547 10.898 23.760 1.004   500

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = var(deviance)/2)
pD = 28.0 and DIC = 34.4
DIC is an estimate of expected predictive error (lower deviance is better).
