iButton_Temp,Date,Object,Size,Location,Month
28,04/01/2020,Bush,Small,Mishmar,1
25.5,04/01/2020,Bush,Small,Tzeelim,1
25.5,04/01/2020,Bush,Small,Mishmar,1
25.5,04/01/2020,Bush,Small,Tzeelim,1
26,04/01/2020,Bush,Small,Mishmar,1
24.5,04/01/2020,Bush,Small,Tzeelim,1
24,04/01/2020,Bush,Small,Mishmar,1
23.5,04/01/2020,Bush,Small,Tzeelim,1
24,04/01/2020,Bush,Small,Mishmar,1
22.5,04/01/2020,Bush,Small,Tzeelim,1
23,04/01/2020,Bush,Small,Mishmar,1
22.5,04/01/2020,Bush,Small,Tzeelim,1
23.5,04/01/2020,Bush,Small,Mishmar,1
22,04/01/2020,Bush,Small,Tzeelim,1
22.5,04/01/2020,Bush,Small,Mishmar,1
22,04/01/2020,Bush,Small,Tzeelim,1
23.5,04/01/2020,Bush,Small,Mishmar,1
21.5,04/01/2020,Bush,Small,Tzeelim,1
22,04/01/2020,Bush,Small,Mishmar,1
20.5,04/01/2020,Bush,Small,Tzeelim,1
22.5,04/01/2020,Bush,Small,Mishmar,1
20.5,04/01/2020,Bush,Small,Tzeelim,1
21.5,04/01/2020,Bush,Small,Mishmar,1
20.5,04/01/2020,Bush,Small,Tzeelim,1
21.5,04/01/2020,Bush,Small,Mishmar,1
23,05/01/2020,Bush,Small,Tzeelim,1
24,05/01/2020,Bush,Small,Mishmar,1
24,05/01/2020,Bush,Small,Tzeelim,1
24,05/01/2020,Bush,Small,Mishmar,1
22.5,05/01/2020,Bush,Small,Tzeelim,1
24,05/01/2020,Bush,Small,Mishmar,1
24,05/01/2020,Bush,Small,Tzeelim,1
24,05/01/2020,Bush,Small,Mishmar,1
22.5,05/01/2020,Bush,Small,Tzeelim,1
24,05/01/2020,Bush,Small,Mishmar,1
23.5,05/01/2020,Bush,Small,Tzeelim,1
24,05/01/2020,Bush,Small,Mishmar,1
22,05/01/2020,Bush,Small,Tzeelim,1
24,05/01/2020,Bush,Small,Mishmar,1
23,05/01/2020,Bush,Small,Tzeelim,1
23.5,05/01/2020,Bush,Small,Mishmar,1
21.5,05/01/2020,Bush,Small,Tzeelim,1
24,05/01/2020,Bush,Small,Mishmar,1
22.5,05/01/2020,Bush,Small,Tzeelim,1
23.5,05/01/2020,Bush,Small,Mishmar,1
21.5,05/01/2020,Bush,Small,Tzeelim,1
23.5,05/01/2020,Bush,Small,Mishmar,1
22.5,05/01/2020,Bush,Small,Tzeelim,1
23.5,05/01/2020,Bush,Small,Mishmar,1
21,05/01/2020,Bush,Small,Tzeelim,1
23,05/01/2020,Bush,Small,Mishmar,1
22,05/01/2020,Bush,Small,Tzeelim,1
22.5,05/01/2020,Bush,Small,Mishmar,1
22,05/01/2020,Bush,Small,Tzeelim,1
24,05/01/2020,Bush,Small,Mishmar,1
23,05/01/2020,Bush,Small,Tzeelim,1
24,05/01/2020,Bush,Small,Mishmar,1
24.5,05/01/2020,Bush,Small,Tzeelim,1
26,05/01/2020,Bush,Small,Mishmar,1
25.5,05/01/2020,Bush,Small,Tzeelim,1
28,05/01/2020,Bush,Small,Mishmar,1
27,05/01/2020,Bush,Small,Tzeelim,1
28,05/01/2020,Bush,Small,Mishmar,1
29,05/01/2020,Bush,Small,Tzeelim,1
28.5,05/01/2020,Bush,Small,Mishmar,1
29,05/01/2020,Bush,Small,Tzeelim,1
29.5,05/01/2020,Bush,Small,Mishmar,1
32,05/01/2020,Bush,Small,Tzeelim,1
30,05/01/2020,Bush,Small,Mishmar,1
30,05/01/2020,Bush,Small,Tzeelim,1
31.5,05/01/2020,Bush,Small,Mishmar,1
35.5,05/01/2020,Bush,Small,Tzeelim,1
32.5,05/01/2020,Bush,Small,Mishmar,1
31.5,05/01/2020,Bush,Small,Tzeelim,1
33.5,05/01/2020,Bush,Small,Mishmar,1
39,05/01/2020,Bush,Small,Tzeelim,1
33.5,05/01/2020,Bush,Small,Mishmar,1
33,05/01/2020,Bush,Small,Tzeelim,1
36,05/01/2020,Bush,Small,Mishmar,1
42.5,05/01/2020,Bush,Small,Tzeelim,1
34,05/01/2020,Bush,Small,Mishmar,1
34.5,05/01/2020,Bush,Small,Tzeelim,1
36,05/01/2020,Bush,Small,Mishmar,1
44.5,05/01/2020,Bush,Small,Tzeelim,1
35,05/01/2020,Bush,Small,Mishmar,1
36,05/01/2020,Bush,Small,Tzeelim,1
36.5,05/01/2020,Bush,Small,Mishmar,1
43.5,05/01/2020,Bush,Small,Tzeelim,1
35,05/01/2020,Bush,Small,Mishmar,1
37,05/01/2020,Bush,Small,Tzeelim,1
36.5,05/01/2020,Bush,Small,Mishmar,1
38.5,05/01/2020,Bush,Small,Tzeelim,1
34.5,05/01/2020,Bush,Small,Mishmar,1
35,05/01/2020,Bush,Small,Tzeelim,1
36.5,05/01/2020,Bush,Small,Mishmar,1
36,05/01/2020,Bush,Small,Tzeelim,1
35.5,05/01/2020,Bush,Small,Mishmar,1
33,05/01/2020,Bush,Small,Tzeelim,1
34,05/01/2020,Bush,Small,Mishmar,1
33.5,05/01/2020,Bush,Small,Tzeelim,1
33.5,05/01/2020,Bush,Small,Mishmar,1
31,05/01/2020,Bush,Small,Tzeelim,1
32.5,05/01/2020,Bush,Small,Mishmar,1
31,05/01/2020,Bush,Small,Tzeelim,1
32,05/01/2020,Bush,Small,Mishmar,1
29.5,05/01/2020,Bush,Small,Tzeelim,1
30.5,05/01/2020,Bush,Small,Mishmar,1
29.5,05/01/2020,Bush,Small,Tzeelim,1
30,05/01/2020,Bush,Small,Mishmar,1
28,05/01/2020,Bush,Small,Tzeelim,1
29,05/01/2020,Bush,Small,Mishmar,1
28,05/01/2020,Bush,Small,Tzeelim,1
28.5,05/01/2020,Bush,Small,Mishmar,1
27,05/01/2020,Bush,Small,Tzeelim,1
28.5,05/01/2020,Bush,Small,Mishmar,1
27.5,05/01/2020,Bush,Small,Tzeelim,1
28,05/01/2020,Bush,Small,Mishmar,1
27,05/01/2020,Bush,Small,Tzeelim,1
28,05/01/2020,Bush,Small,Mishmar,1
27,05/01/2020,Bush,Small,Tzeelim,1
28,05/01/2020,Bush,Small,Mishmar,1
26,06/01/2020,Bush,Small,Tzeelim,1
27,06/01/2020,Bush,Small,Mishmar,1
27,06/01/2020,Bush,Small,Tzeelim,1
27.5,06/01/2020,Bush,Small,Mishmar,1
25.5,06/01/2020,Bush,Small,Tzeelim,1
26,06/01/2020,Bush,Small,Mishmar,1
26.5,06/01/2020,Bush,Small,Tzeelim,1
27.5,06/01/2020,Bush,Small,Mishmar,1
25,06/01/2020,Bush,Small,Tzeelim,1
25,06/01/2020,Bush,Small,Mishmar,1
25.5,06/01/2020,Bush,Small,Tzeelim,1
27.5,06/01/2020,Bush,Small,Mishmar,1
24.5,06/01/2020,Bush,Small,Tzeelim,1
24.5,06/01/2020,Bush,Small,Mishmar,1
25,06/01/2020,Bush,Small,Tzeelim,1
27,06/01/2020,Bush,Small,Mishmar,1
24,06/01/2020,Bush,Small,Tzeelim,1
24,06/01/2020,Bush,Small,Mishmar,1
24.5,06/01/2020,Bush,Small,Tzeelim,1
26.5,06/01/2020,Bush,Small,Mishmar,1
23.5,06/01/2020,Bush,Small,Tzeelim,1
23.5,06/01/2020,Bush,Small,Mishmar,1
24,06/01/2020,Bush,Small,Tzeelim,1
25.5,06/01/2020,Bush,Small,Mishmar,1
23.5,06/01/2020,Bush,Small,Tzeelim,1
24.5,06/01/2020,Bush,Small,Mishmar,1
24,06/01/2020,Bush,Small,Tzeelim,1
25.5,06/01/2020,Bush,Small,Mishmar,1
24.5,06/01/2020,Bush,Small,Tzeelim,1
28.5,06/01/2020,Bush,Small,Mishmar,1
25.5,06/01/2020,Bush,Small,Tzeelim,1
27.5,06/01/2020,Bush,Small,Mishmar,1
26.5,06/01/2020,Bush,Small,Tzeelim,1
33.5,06/01/2020,Bush,Small,Mishmar,1
28.5,06/01/2020,Bush,Small,Tzeelim,1
30,06/01/2020,Bush,Small,Mishmar,1
28.5,06/01/2020,Bush,Small,Tzeelim,1
36.5,06/01/2020,Bush,Small,Mishmar,1
31,06/01/2020,Bush,Small,Tzeelim,1
31,06/01/2020,Bush,Small,Mishmar,1
32,06/01/2020,Bush,Small,Tzeelim,1
42.5,06/01/2020,Bush,Small,Mishmar,1
34.5,06/01/2020,Bush,Small,Tzeelim,1
33,06/01/2020,Bush,Small,Mishmar,1
32,06/01/2020,Bush,Small,Tzeelim,1
45.5,06/01/2020,Bush,Small,Mishmar,1
37.5,06/01/2020,Bush,Small,Tzeelim,1
34,06/01/2020,Bush,Small,Mishmar,1
33.5,06/01/2020,Bush,Small,Tzeelim,1
50.5,06/01/2020,Bush,Small,Mishmar,1
40.5,06/01/2020,Bush,Small,Tzeelim,1
34.5,06/01/2020,Bush,Small,Mishmar,1
35.5,06/01/2020,Bush,Small,Tzeelim,1
51.5,06/01/2020,Bush,Small,Mishmar,1
44.5,06/01/2020,Bush,Small,Tzeelim,1
36,06/01/2020,Bush,Small,Mishmar,1
37,06/01/2020,Bush,Small,Tzeelim,1
56,06/01/2020,Bush,Small,Mishmar,1
45.5,06/01/2020,Bush,Small,Tzeelim,1
36.5,06/01/2020,Bush,Small,Mishmar,1
38.5,06/01/2020,Bush,Small,Tzeelim,1
53,06/01/2020,Bush,Small,Mishmar,1
45,06/01/2020,Bush,Small,Tzeelim,1
36.5,06/01/2020,Bush,Small,Mishmar,1
39,06/01/2020,Bush,Small,Tzeelim,1
52.5,06/01/2020,Bush,Small,Mishmar,1
43.5,06/01/2020,Bush,Small,Tzeelim,1
37,06/01/2020,Bush,Small,Mishmar,1
40,06/01/2020,Bush,Small,Tzeelim,1
48,06/01/2020,Bush,Small,Mishmar,1
41.5,06/01/2020,Bush,Small,Tzeelim,1
37.5,06/01/2020,Bush,Small,Mishmar,1
38,06/01/2020,Bush,Small,Tzeelim,1
42.5,06/01/2020,Bush,Small,Mishmar,1
40,06/01/2020,Bush,Small,Tzeelim,1
37.5,06/01/2020,Bush,Small,Mishmar,1
35.5,06/01/2020,Bush,Small,Tzeelim,1
35.5,06/01/2020,Bush,Small,Mishmar,1
36,06/01/2020,Bush,Small,Tzeelim,1
35.5,06/01/2020,Bush,Small,Mishmar,1
33.5,06/01/2020,Bush,Small,Tzeelim,1
32.5,06/01/2020,Bush,Small,Mishmar,1
33,06/01/2020,Bush,Small,Tzeelim,1
34.5,06/01/2020,Bush,Small,Mishmar,1
32,06/01/2020,Bush,Small,Tzeelim,1
31,06/01/2020,Bush,Small,Mishmar,1
32,06/01/2020,Bush,Small,Tzeelim,1
33.5,06/01/2020,Bush,Small,Mishmar,1
30.5,06/01/2020,Bush,Small,Tzeelim,1
29.5,06/01/2020,Bush,Small,Mishmar,1
30.5,06/01/2020,Bush,Small,Tzeelim,1
33,06/01/2020,Bush,Small,Mishmar,1
29.5,06/01/2020,Bush,Small,Tzeelim,1
29.5,06/01/2020,Bush,Small,Mishmar,1
30,06/01/2020,Bush,Small,Tzeelim,1
31.5,06/01/2020,Bush,Small,Mishmar,1
33.5,07/01/2020,Bush,Small,Mishmar,1
33,07/01/2020,Bush,Small,Mishmar,1
31.5,07/01/2020,Bush,Small,Tzeelim,1
31,07/01/2020,Bush,Small,Tzeelim,1
32.5,07/01/2020,Bush,Small,Mishmar,1
32.5,07/01/2020,Bush,Small,Mishmar,1
31,07/01/2020,Bush,Small,Tzeelim,1
30.5,07/01/2020,Bush,Small,Tzeelim,1
31.5,07/01/2020,Bush,Small,Mishmar,1
31,07/01/2020,Bush,Small,Mishmar,1
30.5,07/01/2020,Bush,Small,Tzeelim,1
30,07/01/2020,Bush,Small,Tzeelim,1
31.5,07/01/2020,Bush,Small,Mishmar,1
31,07/01/2020,Bush,Small,Mishmar,1
30,07/01/2020,Bush,Small,Tzeelim,1
29,07/01/2020,Bush,Small,Tzeelim,1
31,07/01/2020,Bush,Small,Mishmar,1
30.5,07/01/2020,Bush,Small,Mishmar,1
29.5,07/01/2020,Bush,Small,Tzeelim,1
28.5,07/01/2020,Bush,Small,Tzeelim,1
30.5,07/01/2020,Bush,Small,Mishmar,1
30,07/01/2020,Bush,Small,Mishmar,1
29,07/01/2020,Bush,Small,Tzeelim,1
28,07/01/2020,Bush,Small,Tzeelim,1
30.5,07/01/2020,Bush,Small,Mishmar,1
30,07/01/2020,Bush,Small,Mishmar,1
29.5,07/01/2020,Bush,Small,Tzeelim,1
28.5,07/01/2020,Bush,Small,Tzeelim,1
32,07/01/2020,Bush,Small,Mishmar,1
32,07/01/2020,Bush,Small,Mishmar,1
31.5,07/01/2020,Bush,Small,Tzeelim,1
30,07/01/2020,Bush,Small,Tzeelim,1
33.5,07/01/2020,Bush,Small,Mishmar,1
34.5,07/01/2020,Bush,Small,Mishmar,1
35.5,07/01/2020,Bush,Small,Tzeelim,1
33.5,07/01/2020,Bush,Small,Tzeelim,1
35.5,07/01/2020,Bush,Small,Mishmar,1
36.5,07/01/2020,Bush,Small,Mishmar,1
39.5,07/01/2020,Bush,Small,Tzeelim,1
36,07/01/2020,Bush,Small,Tzeelim,1
40,07/01/2020,Bush,Small,Mishmar,1
39.5,07/01/2020,Bush,Small,Mishmar,1
40.5,07/01/2020,Bush,Small,Tzeelim,1
38,07/01/2020,Bush,Small,Tzeelim,1
43.5,07/01/2020,Bush,Small,Mishmar,1
42,07/01/2020,Bush,Small,Mishmar,1
43,07/01/2020,Bush,Small,Tzeelim,1
39,07/01/2020,Bush,Small,Tzeelim,1
44.5,07/01/2020,Bush,Small,Mishmar,1
43,07/01/2020,Bush,Small,Mishmar,1
